created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-03-12 01:43:39 UTC,57062,28.00,25.80,3150.00,,,
2024-03-12 01:44:32 UTC,57063,29.00,25.30,3150.00,,,
2024-03-12 01:45:23 UTC,57064,29.00,25.30,3108.00,,,
2024-03-12 01:46:15 UTC,57065,29.00,25.30,3047.00,,,
2024-03-12 01:47:06 UTC,57066,29.00,25.30,3047.00,,,
2024-03-12 01:47:58 UTC,57067,29.00,25.30,3004.00,,,
2024-03-12 01:48:49 UTC,57068,29.00,25.30,3047.00,,,
2024-03-12 01:49:40 UTC,57069,29.00,25.30,2911.00,,,
2024-03-12 01:50:31 UTC,57070,29.00,25.30,2747.00,,,
2024-03-12 01:51:24 UTC,57071,29.00,25.00,2776.00,,,
2024-03-12 01:52:15 UTC,57072,29.00,24.80,2763.00,,,
2024-03-12 01:53:06 UTC,57073,29.00,24.80,2763.00,,,
2024-03-12 01:53:57 UTC,57074,29.00,24.80,2680.00,,,
2024-03-12 01:54:49 UTC,57075,29.00,24.80,2576.00,,,
2024-03-12 01:55:40 UTC,57076,29.00,24.80,2576.00,,,
2024-03-12 01:56:31 UTC,57077,29.00,24.80,2589.00,,,
2024-03-12 01:57:22 UTC,57078,29.00,24.80,2635.00,,,
2024-03-12 01:58:14 UTC,57079,29.00,24.80,2667.00,,,
2024-03-12 01:59:05 UTC,57080,30.00,24.80,2635.00,,,
2024-03-12 01:59:58 UTC,57081,30.00,24.80,2680.00,,,
2024-03-12 02:00:49 UTC,57082,30.00,24.80,2450.00,,,
2024-03-12 02:01:43 UTC,57083,30.00,24.80,2635.00,,,
2024-03-12 02:02:35 UTC,57084,30.00,24.80,2667.00,,,
2024-03-12 02:03:28 UTC,57085,30.00,24.80,2730.00,,,
2024-03-12 02:04:19 UTC,57086,30.00,24.80,2794.00,,,
2024-03-12 02:05:12 UTC,57087,30.00,24.60,2776.00,,,
2024-03-12 02:06:03 UTC,57088,30.00,24.50,2730.00,,,
2024-03-12 02:06:54 UTC,57089,30.00,24.50,2697.00,,,
2024-03-12 02:07:47 UTC,57090,30.00,24.50,2618.00,,,
2024-03-12 02:08:41 UTC,57091,30.00,24.50,2618.00,,,
2024-03-12 02:09:33 UTC,57092,31.00,24.50,2185.00,,,
2024-03-12 02:10:25 UTC,57093,31.00,24.50,2357.00,,,
2024-03-12 02:11:16 UTC,57094,30.00,24.50,2407.00,,,
2024-03-12 02:12:08 UTC,57095,31.00,24.50,2395.00,,,
2024-03-12 02:12:59 UTC,57096,31.00,24.50,2185.00,,,
2024-03-12 02:13:51 UTC,57097,31.00,24.30,2311.00,,,
2024-03-12 02:14:42 UTC,57098,31.00,24.10,2287.00,,,
2024-03-12 02:15:36 UTC,57099,31.00,24.10,2421.00,,,
2024-03-12 02:16:27 UTC,57100,31.00,24.10,2357.00,,,
2024-03-12 02:17:18 UTC,57101,31.00,24.10,2357.00,,,
2024-03-12 02:18:09 UTC,57102,31.00,24.10,2462.00,,,
2024-03-12 02:19:03 UTC,57103,31.00,24.10,2488.00,,,
2024-03-12 02:19:59 UTC,57104,31.00,24.10,2488.00,,,
2024-03-12 02:21:49 UTC,57105,31.00,24.10,2178.00,,,
2024-03-12 02:22:42 UTC,57106,31.00,24.10,2178.00,,,
2024-03-12 02:23:33 UTC,57107,31.00,24.10,1766.00,,,
2024-03-12 02:24:24 UTC,57108,31.00,23.80,1957.00,,,
2024-03-12 02:25:17 UTC,57109,31.00,23.80,2078.00,,,
2024-03-12 02:26:09 UTC,57110,31.00,23.80,2232.00,,,
2024-03-12 02:27:00 UTC,57111,31.00,23.80,2287.00,,,
2024-03-12 02:27:51 UTC,57112,31.00,23.80,2267.00,,,
2024-03-12 02:28:44 UTC,57113,31.00,23.80,2267.00,,,
2024-03-12 02:29:37 UTC,57114,31.00,23.80,2357.00,,,
2024-03-12 02:30:30 UTC,57115,31.00,23.80,2357.00,,,
2024-03-12 02:31:22 UTC,57116,31.00,23.80,2436.00,,,
2024-03-12 02:32:13 UTC,57117,31.00,23.80,2519.00,,,
2024-03-12 02:33:10 UTC,57118,31.00,23.80,2488.00,,,
2024-03-12 02:34:01 UTC,57119,31.00,23.80,2336.00,,,
2024-03-12 02:36:00 UTC,57120,31.00,23.80,2436.00,,,
2024-03-12 02:36:52 UTC,57121,32.00,23.80,2276.00,,,
2024-03-12 02:37:43 UTC,57122,32.00,23.80,2276.00,,,
2024-03-12 02:38:34 UTC,57123,32.00,23.70,2287.00,,,
2024-03-12 02:39:25 UTC,57124,32.00,23.40,2311.00,,,
2024-03-12 02:40:18 UTC,57125,32.00,23.40,2267.00,,,
2024-03-12 02:41:10 UTC,57126,32.00,23.40,2357.00,,,
2024-03-12 02:42:01 UTC,57127,32.00,23.40,2208.00,,,
2024-03-12 02:42:57 UTC,57128,32.00,23.40,2276.00,,,
2024-03-12 02:43:51 UTC,57129,32.00,23.40,2156.00,,,
2024-03-12 02:44:42 UTC,57130,32.00,23.40,2014.00,,,
2024-03-12 02:45:44 UTC,57131,32.00,23.40,2034.00,,,
2024-03-12 02:46:36 UTC,57132,32.00,23.40,2014.00,,,
2024-03-12 02:47:29 UTC,57133,32.00,23.40,1914.00,,,
2024-03-12 02:48:20 UTC,57134,32.00,23.00,1971.00,,,
2024-03-12 02:49:13 UTC,57135,32.00,23.00,2110.00,,,
2024-03-12 02:50:07 UTC,57136,32.00,23.00,2138.00,,,
2024-03-12 02:51:01 UTC,57137,32.00,23.00,2110.00,,,
2024-03-12 02:51:54 UTC,57138,32.00,23.00,2197.00,,,
2024-03-12 02:52:48 UTC,57139,33.00,23.10,2114.00,,,
2024-03-12 02:53:39 UTC,57140,33.00,23.00,2370.00,,,
2024-03-12 02:54:31 UTC,57141,33.00,23.00,2370.00,,,
2024-03-12 02:55:22 UTC,57142,33.00,23.00,2232.00,,,
2024-03-12 02:56:13 UTC,57143,33.00,23.00,2357.00,,,
2024-03-12 02:58:04 UTC,57144,33.00,23.00,2357.00,,,
2024-03-12 02:58:55 UTC,57145,33.00,23.00,2506.00,,,
2024-03-12 02:59:47 UTC,57146,33.00,23.00,2519.00,,,
2024-03-12 03:00:39 UTC,57147,33.00,23.00,2519.00,,,
2024-03-12 03:01:38 UTC,57148,33.00,23.00,2357.00,,,
2024-03-12 03:02:30 UTC,57149,33.00,23.00,2576.00,,,
2024-03-12 03:03:22 UTC,57150,33.00,23.00,2547.00,,,
2024-03-12 03:04:14 UTC,57151,34.00,23.00,2547.00,,,
2024-03-12 03:05:07 UTC,57152,34.00,22.70,2462.00,,,
2024-03-12 03:05:58 UTC,57153,34.00,22.60,2506.00,,,
2024-03-12 03:06:49 UTC,57154,34.00,22.60,2519.00,,,
2024-03-12 03:07:40 UTC,57155,34.00,22.60,2506.00,,,
2024-03-12 03:08:32 UTC,57156,34.00,22.60,2519.00,,,
2024-03-12 03:09:23 UTC,57157,34.00,22.60,2506.00,,,
2024-03-12 03:10:14 UTC,57158,34.00,22.60,2532.00,,,
2024-03-12 03:11:05 UTC,57159,34.00,22.60,2519.00,,,
2024-03-12 03:11:57 UTC,57160,34.00,22.60,2576.00,,,
2024-03-12 03:12:48 UTC,57161,34.00,22.60,2618.00,,,
2024-03-12 03:13:39 UTC,57162,34.00,22.60,2635.00,,,
2024-03-12 03:14:30 UTC,57163,34.00,22.60,2547.00,,,
2024-03-12 03:15:23 UTC,57164,34.00,22.60,2407.00,,,
2024-03-12 03:16:14 UTC,57165,34.00,22.60,2267.00,,,
2024-03-12 03:17:05 UTC,57166,34.00,22.60,2357.00,,,
2024-03-12 03:18:58 UTC,57167,34.00,22.40,2287.00,,,
2024-03-12 03:19:49 UTC,57168,34.00,22.30,2244.00,,,
2024-03-12 03:20:40 UTC,57169,34.00,22.30,2287.00,,,
2024-03-12 03:21:36 UTC,57170,34.00,22.30,2208.00,,,
2024-03-12 03:22:29 UTC,57171,35.00,22.20,2150.00,,,
2024-03-12 03:23:20 UTC,57172,35.00,22.20,2114.00,,,
2024-03-12 03:24:12 UTC,57173,35.00,22.20,2114.00,,,
2024-03-12 03:25:03 UTC,57174,35.00,22.20,2078.00,,,
2024-03-12 03:25:55 UTC,57175,35.00,22.20,1978.00,,,
2024-03-12 03:26:46 UTC,57176,35.00,22.20,2034.00,,,
2024-03-12 03:27:37 UTC,57177,35.00,22.20,2138.00,,,
2024-03-12 03:28:28 UTC,57178,35.00,22.20,2267.00,,,
2024-03-12 03:29:20 UTC,57179,35.00,22.20,2276.00,,,
2024-03-12 03:30:13 UTC,57180,35.00,22.20,2322.00,,,
2024-03-12 03:31:05 UTC,57181,35.00,22.20,2311.00,,,
2024-03-12 03:31:58 UTC,57182,35.00,22.20,2370.00,,,
2024-03-12 03:32:50 UTC,57183,35.00,22.20,2370.00,,,
2024-03-12 03:33:41 UTC,57184,35.00,22.20,2322.00,,,
2024-03-12 03:34:32 UTC,57185,35.00,22.20,2267.00,,,
2024-03-12 03:35:23 UTC,57186,35.00,22.20,2257.00,,,
2024-03-12 03:36:15 UTC,57187,35.00,22.20,2287.00,,,
2024-03-12 03:37:06 UTC,57188,35.00,22.20,2357.00,,,
2024-03-12 03:37:57 UTC,57189,36.00,22.20,2407.00,,,
2024-03-12 03:38:48 UTC,57190,36.00,22.20,2436.00,,,
2024-03-12 03:39:40 UTC,57191,36.00,22.20,2322.00,,,
2024-03-12 03:40:31 UTC,57192,36.00,22.20,2421.00,,,
2024-03-12 03:41:22 UTC,57193,36.00,22.20,2357.00,,,
2024-03-12 03:43:18 UTC,57194,36.00,22.20,2407.00,,,
2024-03-12 03:44:09 UTC,57195,36.00,22.10,2532.00,,,
2024-03-12 03:45:01 UTC,57196,36.00,21.90,2436.00,,,
2024-03-12 03:45:52 UTC,57197,36.00,21.90,2519.00,,,
2024-03-12 03:46:43 UTC,57198,36.00,21.80,2462.00,,,
2024-03-12 03:47:34 UTC,57199,36.00,21.80,2462.00,,,
2024-03-12 03:48:25 UTC,57200,36.00,21.80,2488.00,,,
2024-03-12 03:49:16 UTC,57201,36.00,21.80,2436.00,,,
2024-03-12 03:50:09 UTC,57202,36.00,21.80,2382.00,,,
2024-03-12 03:51:00 UTC,57203,36.00,21.80,2462.00,,,
2024-03-12 03:51:51 UTC,57204,36.00,21.80,2370.00,,,
2024-03-12 03:52:49 UTC,57205,36.00,21.80,2357.00,,,
2024-03-12 03:53:42 UTC,57206,36.00,21.80,2244.00,,,
2024-03-12 03:54:33 UTC,57207,36.00,21.80,2357.00,,,
2024-03-12 03:55:24 UTC,57208,37.00,21.80,2357.00,,,
2024-03-12 03:56:15 UTC,57209,37.00,21.80,2407.00,,,
2024-03-12 03:57:07 UTC,57210,37.00,21.80,2436.00,,,
2024-03-12 03:58:00 UTC,57211,37.00,21.80,2547.00,,,
2024-03-12 03:58:52 UTC,57212,37.00,21.80,2576.00,,,
2024-03-12 03:59:43 UTC,57213,37.00,21.80,2603.00,,,
2024-03-12 04:00:37 UTC,57214,37.00,21.80,2603.00,,,
2024-03-12 04:01:28 UTC,57215,37.00,21.40,2576.00,,,
2024-03-12 04:02:19 UTC,57216,37.00,21.40,2421.00,,,
2024-03-12 04:03:10 UTC,57217,37.00,21.40,2462.00,,,
2024-03-12 04:04:02 UTC,57218,37.00,21.40,2450.00,,,
2024-03-12 04:04:53 UTC,57219,37.00,21.40,2357.00,,,
2024-03-12 04:05:44 UTC,57220,37.00,21.40,2370.00,,,
2024-03-12 04:06:37 UTC,57221,37.00,21.40,2357.00,,,
2024-03-12 04:07:29 UTC,57222,37.00,21.40,2150.00,,,
2024-03-12 04:08:20 UTC,57223,37.00,21.40,2357.00,,,
2024-03-12 04:09:11 UTC,57224,37.00,21.40,2287.00,,,
2024-03-12 04:10:02 UTC,57225,37.00,21.40,2357.00,,,
2024-03-12 04:10:54 UTC,57226,37.00,21.40,2357.00,,,
2024-03-12 04:11:45 UTC,57227,38.00,21.20,2407.00,,,
2024-03-12 04:12:36 UTC,57228,38.00,21.10,2357.00,,,
2024-03-12 04:13:27 UTC,57229,38.00,21.00,2382.00,,,
2024-03-12 04:14:19 UTC,57230,38.00,21.00,2178.00,,,
2024-03-12 04:15:10 UTC,57231,38.00,21.00,2287.00,,,
2024-03-12 04:16:01 UTC,57232,38.00,21.00,2298.00,,,
2024-03-12 04:16:52 UTC,57233,38.00,21.00,2208.00,,,
2024-03-12 04:17:44 UTC,57234,38.00,21.00,2034.00,,,
2024-03-12 04:18:35 UTC,57235,38.00,21.00,2197.00,,,
2024-03-12 04:19:26 UTC,57236,40.00,20.70,2166.00,,,
2024-03-12 04:20:17 UTC,57237,40.00,20.60,2185.00,,,
2024-03-12 04:21:09 UTC,57238,40.00,20.60,2098.00,,,
2024-03-12 04:22:00 UTC,57239,40.00,20.60,2138.00,,,
