created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-04-03 06:00:42 UTC,93853,0.00,247.00,9.78,400.00,,
2024-04-03 06:01:33 UTC,93854,0.00,243.27,9.75,400.00,,
2024-04-03 06:02:24 UTC,93855,0.00,205.31,9.53,400.00,,
2024-04-03 06:03:15 UTC,93856,0.00,228.33,9.74,400.00,,
2024-04-03 06:04:08 UTC,93857,0.00,207.12,10.77,400.00,,
2024-04-03 06:04:59 UTC,93858,0.00,204.72,9.44,400.00,,
2024-04-03 06:05:50 UTC,93859,0.00,241.79,9.96,400.00,,
2024-04-03 06:06:41 UTC,93860,0.00,228.33,9.56,400.00,,
2024-04-03 06:07:33 UTC,93861,0.00,213.27,10.23,400.00,,
2024-04-03 06:08:24 UTC,93862,0.00,207.72,9.30,400.00,,
2024-04-03 06:09:15 UTC,93863,0.00,246.25,11.14,400.00,,
2024-04-03 06:10:07 UTC,93864,0.00,217.72,9.66,400.00,,
2024-04-03 06:10:59 UTC,93865,0.00,206.51,10.17,400.00,,
2024-04-03 06:11:50 UTC,93866,0.00,247.76,10.26,400.00,,
2024-04-03 06:12:41 UTC,93867,0.00,250.05,10.41,400.00,,
2024-04-03 06:13:32 UTC,93868,0.00,202.35,12.71,400.00,,
2024-04-03 06:14:25 UTC,93869,0.00,238.87,9.47,400.00,,
2024-04-03 06:15:16 UTC,93870,0.00,238.87,8.94,400.00,,
2024-04-03 06:16:07 UTC,93871,0.00,230.39,10.02,400.00,,
2024-04-03 06:16:58 UTC,93872,0.00,220.96,10.09,400.00,,
2024-04-03 06:17:50 UTC,93873,0.00,217.07,10.50,400.00,,
2024-04-03 06:18:41 UTC,93874,0.00,215.16,9.84,400.00,,
2024-04-03 06:19:32 UTC,93875,0.00,199.45,9.21,400.00,,
2024-04-03 06:20:23 UTC,93876,0.00,229.01,9.68,400.00,,
2024-04-03 06:21:16 UTC,93877,0.00,216.43,9.79,400.00,,
2024-04-03 06:22:07 UTC,93878,0.00,239.60,10.31,400.00,,
2024-04-03 06:22:58 UTC,93879,0.00,259.46,9.18,400.00,,
2024-04-03 06:23:49 UTC,93880,0.00,245.50,9.80,400.00,,
2024-04-03 06:24:41 UTC,93881,0.00,216.43,10.45,400.00,,
2024-04-03 06:25:32 UTC,93882,0.00,219.66,10.46,400.00,,
2024-04-03 06:26:23 UTC,93883,0.00,214.53,9.70,400.00,,
2024-04-03 06:27:15 UTC,93884,0.00,274.45,10.08,400.00,,
2024-04-03 06:28:07 UTC,93885,0.00,272.73,10.46,400.00,,
2024-04-03 06:28:58 UTC,93886,0.00,200.03,10.77,400.00,,
2024-04-03 06:29:49 UTC,93887,0.00,261.89,10.09,400.00,,
2024-04-03 06:30:40 UTC,93888,0.00,200.03,10.52,400.00,,
2024-04-03 06:31:33 UTC,93889,0.00,207.72,10.05,400.00,,
2024-04-03 06:32:24 UTC,93890,0.00,219.66,9.41,400.00,,
2024-04-03 06:33:14 UTC,93891,0.00,250.05,10.06,400.00,,
2024-04-03 06:34:06 UTC,93892,0.00,233.17,9.69,400.00,,
2024-04-03 06:34:59 UTC,93893,0.00,244.01,11.46,400.00,,
2024-04-03 06:35:50 UTC,93894,0.00,217.07,10.32,400.00,,
2024-04-03 06:36:41 UTC,93895,0.00,247.00,9.79,400.00,,
2024-04-03 06:37:32 UTC,93896,0.00,228.33,9.66,400.00,,
2024-04-03 06:38:25 UTC,93897,0.00,224.94,9.67,400.00,,
2024-04-03 06:39:16 UTC,93898,0.00,238.87,9.65,400.00,,
2024-04-03 06:40:07 UTC,93899,0.00,224.94,9.81,400.00,,
2024-04-03 06:40:59 UTC,93900,0.00,209.55,9.86,400.00,,
2024-04-03 06:41:51 UTC,93901,0.00,226.29,9.72,400.00,,
2024-04-03 06:42:42 UTC,93902,0.00,243.27,9.21,400.00,,
2024-04-03 06:43:33 UTC,93903,0.00,204.72,10.35,400.00,,
2024-04-03 06:44:24 UTC,93904,0.00,253.92,9.65,400.00,,
2024-04-03 06:45:17 UTC,93905,0.00,206.51,10.74,400.00,,
2024-04-03 06:46:08 UTC,93906,0.00,262.70,10.40,400.00,,
2024-04-03 06:46:59 UTC,93907,0.00,207.12,11.36,400.00,,
2024-04-03 06:47:50 UTC,93908,0.00,227.64,10.61,400.00,,
