created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-03-26 06:00:21 UTC,80514,0.00,205.91,5.23,400.00,,
2024-03-26 06:01:12 UTC,80515,0.00,195.47,4.79,400.00,,
2024-03-26 06:02:03 UTC,80516,0.00,192.68,4.97,400.00,,
2024-03-26 06:02:55 UTC,80517,0.00,196.59,5.04,400.00,,
2024-03-26 06:03:47 UTC,80518,0.00,239.60,5.25,400.00,,
2024-03-26 06:04:38 UTC,80519,0.00,201.77,5.64,400.00,,
2024-03-26 06:05:29 UTC,80520,0.00,180.51,5.67,400.00,,
2024-03-26 06:06:21 UTC,80521,0.00,238.87,5.20,400.00,,
2024-03-26 06:07:12 UTC,80522,0.00,154.25,5.09,400.00,,
2024-03-26 06:08:03 UTC,80523,0.00,193.79,5.11,400.00,,
2024-03-26 06:08:54 UTC,80524,0.00,217.07,5.05,400.00,,
2024-03-26 06:09:46 UTC,80525,0.00,189.41,5.06,400.00,,
2024-03-26 06:10:37 UTC,80526,0.00,208.33,4.80,400.00,,
2024-03-26 06:11:28 UTC,80527,0.00,217.72,5.23,400.00,,
2024-03-26 06:12:20 UTC,80528,0.00,230.39,5.14,400.00,,
2024-03-26 06:13:12 UTC,80529,0.00,217.07,5.14,400.00,,
2024-03-26 06:14:03 UTC,80530,0.00,196.59,4.77,400.00,,
2024-03-26 06:14:54 UTC,80531,0.00,186.74,4.80,400.00,,
2024-03-26 06:15:45 UTC,80532,0.00,212.65,5.34,400.00,,
2024-03-26 06:16:37 UTC,80533,0.00,165.59,4.77,400.00,,
2024-03-26 06:17:28 UTC,80534,0.00,187.80,4.30,400.00,,
2024-03-26 06:18:19 UTC,80535,0.00,241.06,5.32,400.00,,
2024-03-26 06:19:10 UTC,80536,0.00,202.35,4.91,400.00,,
2024-03-26 06:20:03 UTC,80537,0.00,147.36,4.75,400.00,,
2024-03-26 06:20:54 UTC,80538,0.00,236.72,4.90,400.00,,
2024-03-26 06:21:45 UTC,80539,0.00,184.63,4.79,400.00,,
2024-03-26 06:22:36 UTC,80540,0.00,188.34,5.10,400.00,,
2024-03-26 06:23:28 UTC,80541,0.00,215.16,4.76,400.00,,
2024-03-26 06:24:20 UTC,80542,0.00,212.02,4.33,400.00,,
2024-03-26 06:25:11 UTC,80543,0.00,153.01,4.46,400.00,,
2024-03-26 06:26:01 UTC,80544,0.00,207.72,4.97,400.00,,
2024-03-26 06:26:54 UTC,80545,0.00,201.19,4.21,400.00,,
2024-03-26 06:27:45 UTC,80546,0.00,185.68,4.61,400.00,,
2024-03-26 06:28:36 UTC,80547,0.00,153.42,5.04,400.00,,
2024-03-26 06:29:27 UTC,80548,0.00,203.53,5.03,400.00,,
2024-03-26 06:30:20 UTC,80549,0.00,224.94,4.41,400.00,,
2024-03-26 06:31:11 UTC,80550,0.00,207.12,4.35,400.00,,
