created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-03-06 06:00:36 UTC,54746,0.00,155.09,4.17,400.00,,
2024-03-06 06:01:27 UTC,54747,0.00,158.92,4.52,400.00,,
2024-03-06 06:02:18 UTC,54748,0.00,153.83,4.26,400.00,,
2024-03-06 06:03:09 UTC,54749,0.00,128.54,4.60,400.00,,
2024-03-06 06:04:02 UTC,54750,0.00,200.03,4.90,400.00,,
2024-03-06 06:04:52 UTC,54751,0.00,213.90,4.67,400.00,,
2024-03-06 06:05:43 UTC,54752,0.00,168.35,4.69,400.00,,
2024-03-06 06:06:34 UTC,54753,0.00,168.35,4.54,400.00,,
2024-03-06 06:07:27 UTC,54754,0.00,347.85,4.29,400.00,,
2024-03-06 06:08:18 UTC,54755,0.00,322.28,5.08,400.00,,
2024-03-06 06:09:09 UTC,54756,0.00,146.97,4.57,400.00,,
2024-03-06 06:10:00 UTC,54757,0.00,277.93,4.88,400.00,,
2024-03-06 06:10:52 UTC,54758,0.00,156.35,5.94,400.00,,
2024-03-06 06:11:43 UTC,54759,0.00,309.89,4.71,400.00,,
2024-03-06 06:12:34 UTC,54760,0.00,157.63,4.38,400.00,,
2024-03-06 06:13:25 UTC,54761,0.00,142.35,4.93,400.00,,
2024-03-06 06:14:17 UTC,54762,0.00,106.64,4.67,400.00,,
2024-03-06 06:15:08 UTC,54763,0.00,141.60,4.84,400.00,,
2024-03-06 06:15:59 UTC,54764,0.00,116.37,4.43,400.00,,
2024-03-06 06:16:50 UTC,54765,0.00,124.00,4.86,400.00,,
2024-03-06 06:17:42 UTC,54766,0.00,147.36,4.63,400.00,,
2024-03-06 06:18:33 UTC,54767,0.00,118.14,5.03,400.00,,
2024-03-06 06:19:24 UTC,54768,0.00,114.62,4.61,400.00,,
2024-03-06 06:20:15 UTC,54769,0.00,133.65,4.45,400.00,,
2024-03-06 06:21:08 UTC,54770,0.00,119.96,4.55,400.00,,
2024-03-06 06:21:58 UTC,54771,0.00,146.58,4.49,400.00,,
2024-03-06 06:22:49 UTC,54772,0.00,335.31,4.20,400.00,,
2024-03-06 06:23:40 UTC,54773,0.00,156.78,4.23,400.00,,
2024-03-06 06:24:33 UTC,54774,0.00,119.05,4.58,400.00,,
2024-03-06 06:25:24 UTC,54775,0.00,261.89,4.26,400.00,,
2024-03-06 06:26:15 UTC,54776,0.00,127.22,4.16,400.00,,
2024-03-06 06:27:05 UTC,54777,0.00,335.31,4.74,400.00,,
2024-03-06 06:27:58 UTC,54778,0.00,201.77,4.67,400.00,,
2024-03-06 06:28:49 UTC,54779,0.00,121.49,4.60,400.00,,
2024-03-06 06:29:40 UTC,54780,0.00,112.07,4.54,400.00,,
2024-03-06 06:30:31 UTC,54781,0.00,349.02,4.96,400.00,,
2024-03-06 06:31:23 UTC,54782,0.00,123.68,4.81,400.00,,
2024-03-06 06:32:14 UTC,54783,0.00,127.55,4.51,400.00,,
2024-03-06 06:33:05 UTC,54784,0.00,116.08,4.60,400.00,,
2024-03-06 06:33:56 UTC,54785,0.00,154.25,4.62,400.00,,
2024-03-06 06:34:48 UTC,54786,0.00,117.85,4.48,400.00,,
2024-03-06 06:35:39 UTC,54787,0.00,149.35,4.57,400.00,,
2024-03-06 06:36:30 UTC,54788,0.00,271.88,4.45,400.00,,
2024-03-06 06:37:31 UTC,54789,0.00,154.25,4.97,400.00,,
2024-03-06 06:38:23 UTC,54790,0.00,136.83,4.66,400.00,,
2024-03-06 06:39:15 UTC,54791,0.00,116.66,4.26,400.00,,
2024-03-06 06:40:06 UTC,54792,0.00,136.47,4.75,400.00,,
2024-03-06 06:40:57 UTC,54793,0.00,127.88,4.63,400.00,,
2024-03-06 06:41:50 UTC,54794,0.00,148.15,4.28,400.00,,
2024-03-06 06:42:41 UTC,54795,0.00,131.92,4.40,400.00,,
2024-03-06 06:43:32 UTC,54796,0.00,145.02,4.17,400.00,,
2024-03-06 06:44:23 UTC,54797,0.00,115.49,4.70,400.00,,
2024-03-06 06:45:15 UTC,54798,0.00,159.36,4.33,400.00,,
2024-03-06 06:46:06 UTC,54799,0.00,116.37,4.40,400.00,,
2024-03-06 06:46:57 UTC,54800,0.00,157.20,4.02,400.00,,
2024-03-06 06:47:48 UTC,54801,0.00,168.35,4.20,400.00,,
2024-03-06 06:48:41 UTC,54802,0.00,140.48,4.20,400.00,,
2024-03-06 06:49:32 UTC,54803,0.00,105.59,4.08,400.00,,
2024-03-06 06:50:23 UTC,54804,0.00,109.59,4.69,400.00,,
2024-03-06 06:51:14 UTC,54805,0.00,107.43,4.69,400.00,,
2024-03-06 06:52:06 UTC,54806,0.00,113.76,4.73,400.00,,
2024-03-06 06:52:57 UTC,54807,0.00,141.60,4.70,400.00,,
2024-03-06 06:53:49 UTC,54808,0.00,131.92,4.77,400.00,,
2024-03-06 06:54:40 UTC,54809,0.00,161.11,4.29,400.00,,
2024-03-06 06:55:32 UTC,54810,0.00,104.30,4.33,400.00,,
2024-03-06 06:56:23 UTC,54811,0.00,141.97,4.18,400.00,,
2024-03-06 06:57:14 UTC,54812,0.00,179.50,4.19,400.00,,
2024-03-06 06:58:05 UTC,54813,0.00,140.11,4.17,400.00,,
2024-03-06 06:58:58 UTC,54814,0.00,118.74,4.07,400.00,,
2024-03-06 06:59:49 UTC,54815,0.00,138.64,4.88,400.00,,
2024-03-06 07:00:40 UTC,54816,0.00,98.14,4.73,400.00,,
2024-03-06 07:01:31 UTC,54817,0.00,163.33,4.60,400.00,,
