created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-03-14 06:00:47 UTC,60644,0.00,302.94,8.12,400.00,,
2024-03-14 06:01:38 UTC,60645,0.00,239.60,7.56,400.00,,
2024-03-14 06:02:29 UTC,60646,0.00,307.89,8.88,400.00,,
2024-03-14 06:03:21 UTC,60647,0.00,368.43,7.96,400.00,,
2024-03-14 06:04:12 UTC,60648,0.00,265.17,7.51,400.00,,
2024-03-14 06:05:05 UTC,60649,0.00,277.93,8.45,400.00,,
2024-03-14 06:05:56 UTC,60650,0.00,326.55,8.77,400.00,,
2024-03-14 06:06:48 UTC,60651,0.00,307.89,8.58,400.00,,
2024-03-14 06:07:39 UTC,60652,0.00,312.93,7.29,400.00,,
2024-03-14 06:08:30 UTC,60653,0.00,354.94,8.24,400.00,,
2024-03-14 06:09:21 UTC,60654,0.00,350.19,7.90,400.00,,
2024-03-14 06:10:14 UTC,60655,0.00,377.35,8.35,400.00,,
2024-03-14 06:11:05 UTC,60656,0.00,329.80,7.20,400.00,,
2024-03-14 06:11:58 UTC,60657,0.00,362.22,8.23,400.00,,
2024-03-14 06:12:49 UTC,60658,0.00,276.19,7.39,400.00,,
2024-03-14 06:13:41 UTC,60659,0.00,338.67,7.69,400.00,,
2024-03-14 06:14:32 UTC,60660,0.00,247.00,7.67,400.00,,
2024-03-14 06:15:24 UTC,60661,0.00,307.89,7.36,400.00,,
2024-03-14 06:16:25 UTC,60662,0.00,284.16,6.59,400.00,,
2024-03-14 06:17:18 UTC,60663,0.00,260.27,7.61,400.00,,
2024-03-14 06:18:11 UTC,60664,0.00,250.81,8.29,400.00,,
2024-03-14 06:19:04 UTC,60665,0.00,248.52,7.42,400.00,,
2024-03-14 06:19:55 UTC,60666,0.00,233.17,8.00,400.00,,
2024-03-14 06:20:47 UTC,60667,0.00,312.93,6.63,400.00,,
2024-03-14 06:21:38 UTC,60668,0.00,228.33,8.14,400.00,,
2024-03-14 06:22:30 UTC,60669,0.00,261.89,7.39,400.00,,
2024-03-14 06:23:23 UTC,60670,0.00,318.08,7.70,400.00,,
2024-03-14 06:24:16 UTC,60671,0.00,335.31,8.34,400.00,,
2024-03-14 06:25:08 UTC,60672,0.00,336.43,7.88,400.00,,
2024-03-14 06:25:59 UTC,60673,0.00,253.14,7.21,400.00,,
2024-03-14 06:26:51 UTC,60674,0.00,322.28,7.37,400.00,,
2024-03-14 06:27:44 UTC,60675,0.00,219.66,6.36,400.00,,
2024-03-14 06:28:35 UTC,60676,0.00,268.50,7.90,400.00,,
2024-03-14 06:29:26 UTC,60677,0.00,260.27,7.30,400.00,,
2024-03-14 06:30:17 UTC,60678,0.00,180.00,6.67,400.00,,
2024-03-14 06:31:09 UTC,60679,0.00,309.89,7.14,400.00,,
2024-03-14 06:32:00 UTC,60680,0.00,306.89,6.85,400.00,,
2024-03-14 06:32:51 UTC,60681,0.00,277.06,6.68,400.00,,
2024-03-14 06:33:44 UTC,60682,0.00,245.50,6.66,400.00,,
2024-03-14 06:34:36 UTC,60683,0.00,279.69,6.46,400.00,,
2024-03-14 06:35:27 UTC,60684,0.00,275.32,6.27,400.00,,
2024-03-14 06:36:18 UTC,60685,0.00,198.87,6.21,400.00,,
2024-03-14 06:37:09 UTC,60686,0.00,278.81,7.09,400.00,,
2024-03-14 06:38:02 UTC,60687,0.00,322.28,6.41,400.00,,
2024-03-14 06:38:53 UTC,60688,0.00,229.70,7.26,400.00,,
2024-03-14 06:39:44 UTC,60689,0.00,327.63,7.49,400.00,,
2024-03-14 06:40:36 UTC,60690,0.00,254.70,6.40,400.00,,
2024-03-14 06:41:30 UTC,60691,0.00,173.09,7.29,400.00,,
2024-03-14 06:42:22 UTC,60692,0.00,205.91,6.97,400.00,,
2024-03-14 06:43:15 UTC,60693,0.00,222.28,6.67,400.00,,
2024-03-14 06:44:06 UTC,60694,0.00,264.34,7.06,400.00,,
2024-03-14 06:44:59 UTC,60695,0.00,243.27,6.28,400.00,,
2024-03-14 06:45:50 UTC,60696,0.00,191.59,6.87,400.00,,
2024-03-14 06:46:42 UTC,60697,0.00,245.50,7.30,400.00,,
2024-03-14 06:47:33 UTC,60698,0.00,310.90,7.13,400.00,,
2024-03-14 06:48:25 UTC,60699,0.00,226.29,6.18,400.00,,
2024-03-14 06:49:18 UTC,60700,0.00,237.43,6.97,400.00,,
2024-03-14 06:50:09 UTC,60701,0.00,307.89,7.69,400.00,,
2024-03-14 06:51:00 UTC,60702,0.00,302.94,7.51,400.00,,
2024-03-14 06:51:52 UTC,60703,0.00,200.03,6.30,400.00,,
2024-03-14 06:52:43 UTC,60704,0.00,223.61,6.71,400.00,,
2024-03-14 06:53:35 UTC,60705,0.00,247.00,6.00,400.00,,
2024-03-14 06:54:30 UTC,60706,0.00,266.83,6.99,400.00,,
2024-03-14 06:55:22 UTC,60707,0.00,340.94,6.34,400.00,,
2024-03-14 06:56:17 UTC,60708,0.00,241.06,6.40,400.00,,
2024-03-14 06:57:09 UTC,60709,0.00,242.53,7.51,400.00,,
2024-03-14 06:58:00 UTC,60710,0.00,285.97,7.03,400.00,,
