created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-03-30 06:00:40 UTC,87188,0.00,228.33,7.13,400.00,,
2024-03-30 06:01:32 UTC,87189,0.00,200.60,8.97,400.00,,
2024-03-30 06:02:23 UTC,87190,0.00,220.31,7.66,400.00,,
2024-03-30 06:03:14 UTC,87191,0.00,217.72,7.49,400.00,,
2024-03-30 06:04:05 UTC,87192,0.00,207.72,7.68,400.00,,
2024-03-30 06:04:57 UTC,87193,0.00,221.62,8.45,400.00,,
2024-03-30 06:05:49 UTC,87194,0.00,175.52,8.50,400.00,,
2024-03-30 06:06:40 UTC,87195,0.00,220.96,7.18,400.00,,
2024-03-30 06:07:32 UTC,87196,0.00,220.31,7.99,400.00,,
2024-03-30 06:08:24 UTC,87197,0.00,172.61,7.28,400.00,,
2024-03-30 06:09:15 UTC,87198,0.00,168.35,7.19,400.00,,
2024-03-30 06:10:06 UTC,87199,0.00,207.72,7.50,400.00,,
2024-03-30 06:10:58 UTC,87200,0.00,169.75,7.69,400.00,,
2024-03-30 06:11:50 UTC,87201,0.00,194.35,7.58,400.00,,
2024-03-30 06:12:41 UTC,87202,0.00,176.50,7.84,400.00,,
2024-03-30 06:13:32 UTC,87203,0.00,214.53,7.35,400.00,,
2024-03-30 06:14:23 UTC,87204,0.00,183.59,7.90,400.00,,
2024-03-30 06:15:15 UTC,87205,0.00,189.41,7.41,400.00,,
2024-03-30 06:16:06 UTC,87206,0.00,166.96,7.45,400.00,,
2024-03-30 06:16:57 UTC,87207,0.00,208.33,7.69,400.00,,
2024-03-30 06:17:48 UTC,87208,0.00,198.87,7.89,400.00,,
2024-03-30 06:18:40 UTC,87209,0.00,174.05,7.59,400.00,,
2024-03-30 06:19:31 UTC,87210,0.00,197.73,7.86,400.00,,
2024-03-30 06:20:22 UTC,87211,0.00,205.91,7.22,400.00,,
2024-03-30 06:21:13 UTC,87212,0.00,213.27,7.23,400.00,,
2024-03-30 06:22:05 UTC,87213,0.00,208.33,7.98,400.00,,
2024-03-30 06:22:56 UTC,87214,0.00,192.68,7.59,400.00,,
2024-03-30 06:23:47 UTC,87215,0.00,194.91,7.58,400.00,,
2024-03-30 06:24:38 UTC,87216,0.00,173.09,8.18,400.00,,
2024-03-30 06:25:30 UTC,87217,0.00,200.03,8.32,400.00,,
2024-03-30 06:26:21 UTC,87218,0.00,207.72,7.80,400.00,,
2024-03-30 06:27:12 UTC,87219,0.00,184.63,7.42,400.00,,
2024-03-30 06:28:03 UTC,87220,0.00,218.36,7.97,400.00,,
2024-03-30 06:28:55 UTC,87221,0.00,224.94,7.59,400.00,,
2024-03-30 06:29:46 UTC,87222,0.00,204.12,7.23,400.00,,
2024-03-30 06:30:37 UTC,87223,0.00,169.75,7.98,400.00,,
2024-03-30 06:31:28 UTC,87224,0.00,179.50,7.70,400.00,,
2024-03-30 06:32:20 UTC,87225,0.00,208.33,7.84,400.00,,
2024-03-30 06:33:11 UTC,87226,0.00,196.59,8.07,400.00,,
2024-03-30 06:34:02 UTC,87227,0.00,186.74,8.29,400.00,,
2024-03-30 06:34:53 UTC,87228,0.00,172.61,7.48,400.00,,
2024-03-30 06:35:45 UTC,87229,0.00,174.54,8.31,400.00,,
2024-03-30 06:36:36 UTC,87230,0.00,173.09,7.24,400.00,,
2024-03-30 06:37:27 UTC,87231,0.00,198.87,7.32,400.00,,
2024-03-30 06:38:18 UTC,87232,0.00,212.02,7.62,400.00,,
2024-03-30 06:39:10 UTC,87233,0.00,158.92,7.46,400.00,,
2024-03-30 06:40:01 UTC,87234,0.00,159.79,7.89,400.00,,
2024-03-30 06:40:52 UTC,87235,0.00,172.61,7.76,400.00,,
2024-03-30 06:41:43 UTC,87236,0.00,213.90,8.25,400.00,,
2024-03-30 06:42:35 UTC,87237,0.00,193.24,7.33,400.00,,
2024-03-30 06:43:26 UTC,87238,0.00,219.01,7.63,400.00,,
2024-03-30 06:44:21 UTC,87239,0.00,168.35,8.10,400.00,,
2024-03-30 06:45:12 UTC,87240,0.00,215.80,7.05,400.00,,
2024-03-30 06:46:04 UTC,87241,0.00,186.21,8.33,400.00,,
2024-03-30 06:46:55 UTC,87242,0.00,221.62,8.06,400.00,,
2024-03-30 06:47:45 UTC,87243,0.00,183.59,7.13,400.00,,
2024-03-30 06:48:36 UTC,87244,0.00,187.80,7.57,400.00,,
2024-03-30 06:49:28 UTC,87245,0.00,193.24,7.70,400.00,,
2024-03-30 06:50:19 UTC,87246,0.00,189.41,7.72,400.00,,
2024-03-30 06:51:10 UTC,87247,0.00,217.72,7.81,400.00,,
2024-03-30 06:52:01 UTC,87248,0.00,179.50,7.57,400.00,,
2024-03-30 06:52:53 UTC,87249,0.00,207.72,8.11,400.00,,
2024-03-30 06:53:44 UTC,87250,0.00,180.51,8.59,400.00,,
2024-03-30 06:54:35 UTC,87251,0.00,179.50,7.46,400.00,,
2024-03-30 06:55:26 UTC,87252,0.00,206.51,8.02,400.00,,
2024-03-30 06:56:18 UTC,87253,0.00,176.50,7.86,400.00,,
2024-03-30 06:57:09 UTC,87254,0.00,178.49,8.15,400.00,,
2024-03-30 06:58:00 UTC,87255,0.00,168.82,7.72,400.00,,
2024-03-30 06:58:51 UTC,87256,0.00,176.01,8.06,400.00,,
